50001276,4,"Destinées de la France pacifiée, Les",Les Destinées de la France pacifiée,1,
50001280,3,"Beau Dunois, Le",Le Beau Dunois,1,
50001282,3,"Lodoiska, La",La Lodoiska,,
50001287,4,"Danaïdes, Les",Les Danaïdes,1,
50001288,3,"Trompette guerrière, La",La Trompette guerrière,1,
50001289,3,"Ménestrel, Le",Le Ménestrel,1,
50001291,4,"Dangers de la peur, Les",Les Dangers de la peur,1,
50001293,3,"Pêcheur, Le",Le Pêcheur,1,
50001294,2,"Heureux souvenir, L'",L'Heureux souvenir,1,
50001295,3,"Troubadour abandonné, Le",Le Troubadour abandonné,1,
50001297,3,"Conseil, Le",Le Conseil,1,
50001299,3,"Ruisseau, Le",Le Ruisseau,1,
50001301,2,"Absence, L'",L'Absence,1,
50001304,4,"Charmes de l'amitié, Les",Les Charmes de l'amitié,1,
50001305,3,"Jaloux, Le",Le Jaloux,1,
50001306,3,"Pouvoir de la melodie, Le",Le Pouvoir de la melodie,1,
50001307,3,"Bonheur de la Constance, Le",Le Bonheur de la Constance,,Le bonheur de la constance
50001308,3,"Mélancolie, La",La Mélancolie,1,
50001310,3,"Rocher de deux amans, Le",Le Rocher de deux amans,1,
50001318,3,"Départ, Le",Le Départ,1,
50001322,4,"Chevaliers Français, Les",Les Chevaliers Français,,Les chevaliers français
50001323,2,"Amante combattuto dalle donne di punto, L'",L'Amante combattuto dalle donne di punto,1,
50001325,4,"Orazi ed i Curiazi, Gli",Gli Orazi ed i Curiazi,,
50001326,3,"Trame deluse, Le",Le Trame deluse,1,
50001328,3,"Astuzie femminili, Le",Le Astuzie femminili,1,
50001330,3,"Raggiri scoperti, Li",Li Raggiri scoperti,1,
50001334,3,"Principe di Taranto, Il",Il Principe di Taranto,1,
50001335,3,"Gelosie villane, Le",Le Gelosie villane,1,
50001338,2,"Uomo indolente, L'",L'Uomo indolente,1,
50001339,2,"Due gemelli, I",I Due gemelli,1,
50001341,3,"Scuola dei maritati, La",La Scuola dei maritati,1,
50001342,3,"Capricciosa corretta, La",La Capricciosa corretta,1,
50001344,3,"Forza del giuramento, La",La Forza del giuramento,1,
50001346,2,"Amore immaginario, L'",L'Amore immaginario,1,
50001347,3,"Bello piace a tutti, Il",Il Bello piace a tutti,1,
50001371,3,"Jeune chapeur de Chamois, Le",Le Jeune chapeur de Chamois,,Le jeune chapeur de chamois
50001375,2,"Amour et l'amitié, L'",L'Amour et l'amitié,1,
50001381,2,"Equivoco fra gli sposi, L'",L'Equivoco fra gli sposi,1,
50001382,3,"Morte di Cleopatra, La",La Morte di Cleopatra,1,
50001386,3,"Virtuosa in Mergellina, La",La Virtuosa in Mergellina,1,
50001387,3,"Chevelure, La",La Chevelure,1,
50001390,3,"Baiser, Le",Le Baiser,1,
50001393,2,"Ombre de marguerite, L'",L'Ombre de marguerite,1,
50001397,3,"Romance, La",La Romance,1,
50001399,3,"Plaisir et la peine, Le",Le Plaisir et la peine,1,
50001403,3,"Mort du troubadour, La",La Mort du troubadour,1,
50001404,3,"Siège de Gibraltar, Le",Le Siège de Gibraltar,1,
50001405,4,"Schönheit, Die",Die Schönheit,,
50001418,3,"Festa della rosa, La",La Festa della rosa,1,
50001421,3,"Capricciosa pentita, La",La Capricciosa pentita,1,
50001423,4,"Sposi in cimento, Gli",Gli Sposi in cimento,1,
50001424,3,"Pietra simpatica, La",La Pietra simpatica,1,
50001436,3,"Partenza, La",La Partenza,1,
50001438,3,"Governante, La",La Governante,1,
50001439,4,"Duenna, The",The Duenna,1,
50001440,3,"Virtù al cimento, La",La Virtù al cimento,1,
50001453,3,"Morte di Mitridate, La",La Morte di Mitridate,1,
50001454,3,"Vane gelosie, Le",Le Vane gelosie,1,
50001455,2,"Zingari in fiera, I",I Zingari in fiera,1,
50001456,3,"Vergine del sole, La",La Vergine del sole,1,
50001457,3,"Matrimonio inaspettato, Il",Il Matrimonio inaspettato,1,
50001458,2,"Inganno felice, L'",L'Inganno felice,1,
50001463,3,"Donne cambiate, Le",Le Donne cambiate,1,
50001464,3,"Ciabattino, Il",Il Ciabattino,1,
50001470,3,"Rendez-vous, Le",Le Rendez-vous,1,
50001472,3,"Saule, Le",Le Saule,1,
50001475,4,"Regrets d'un troubadour ecossais, Les",Les Regrets d'un troubadour ecossais,1,
50001478,3,"Bataille de Trente, La",La Bataille de Trente,1,
50001480,4,"Heure de mariage, Une",Une Heure de mariage,1,
50001490,3,"Serment, Le",Le Serment,1,
50001492,3,"Chant des fauvettes, Le",Le Chant des fauvettes,1,
50001494,4,"Souvenirs du peuple, Les",Les Souvenirs du peuple,1,
50001495,3,"Pèlerine, La",La Pèlerine,1,
50001502,3,"Pressentiment, Le",Le Pressentiment,1,
50001505,3,"Voyage de l'Amour et du Temps, Le",Le Voyage de l'Amour et du Temps,1,
50001512,3,"Tombeau des deux amans, Le",Le Tombeau des deux amans,1,
50001513,3,"Plainte d'amour, La",La Plainte d'amour,1,
50001514,3,"Premier baiser, Le",Le Premier baiser,1,
50001515,4,"Regrets, Les",Les Regrets,1,
50001519,3,"Rivale di se stesso, Il",Il Rivale di se stesso,1,
50001521,3,"Marchese d'un giorno, Il",Il Marchese d'un giorno,1,
50001533,3,"Cloche, La",La Cloche,1,
50001535,3,"Bouquet refusé, Le",Le Bouquet refusé,1,
50001540,3,"Sérénade, La",La Sérénade,1,
50001550,3,"Cameriera per amore, La",La Cameriera per amore,1,
50001553,3,"Morte di Giulio Cesare, La",La Morte di Giulio Cesare,1,
50001555,3,"Betulia liberata, La",La Betulia liberata,,
50001567,3,"Départ d'Enée, Le",Le Départ d'Enée,1,
50001572,3,"Madre dei Maccabei, La",La Madre dei Maccabei,1,
50001573,3,"Nome, Il",Il Nome,1,
50001598,3,"Morte di Cesare, La",La Morte di Cesare,1,
50001605,3,"Calife de Bagdad, Le",Le Calife de Bagdad,1,
50001622,3,"Quinto Fabio, Il",Il Quinto Fabio,,
50001655,3,"Sacrificio d'Abramo, Il",Il Sacrificio d'Abramo,1,
50001697,4,"Eremit auf Formentera, Der",Der Eremit auf Formentera,,
50001778,3,"Nozze disturbate, Le",Le Nozze disturbate,1,
50001800,3,"Morte di Abele, La",La Morte di Abele,1,
50001802,3,"Bella pescatrice, La",La Bella pescatrice,1,
50001805,3,"Fantango, Il",Il Fantango,1,
50001806,3,"Pastorale solito, Il",Il Pastorale solito,1,
50001807,3,"Nozze di Camascio, Le",Le Nozze di Camascio,1,
50001808,3,"Vero fantango, Il",Il Vero fantango,1,
50001841,4,"Dichtkunst, Die",Die Dichtkunst,,
50001905,2,"Arbore di Diana, L'",L'Arbore di Diana,1,
50001908,3,"Rosa bianca e la rosa rossa, La",La Rosa bianca e la rosa rossa,1,
50001919,3,"Filosofo in campagna, Il",Il Filosofo in campagna,1,
50001937,4,"Entführung aus dem Serail, Die",Die Entführung aus dem Serail,,
50001940,3,"Scuola degli amanti, La",La Scuola degli amanti,1,
50001946,3,"Pasquale gaudio, Il",Il Pasquale gaudio,1,
50001947,4,"Sonntagskind, Das",Das Sonntagskind,,
50001955,4,"Sciti, Gli",Gli Sciti,,
50001956,2,"Baccanali di Roma, I",I Baccanali di Roma,1,
50001957,2,"Manlii, I",I Manlii,,
50001958,3,"Podestá di Chioggia, Il",Il Podestá di Chioggia,,Il podestà di Chioggia
50001961,3,"Pazza per amore, La",La Pazza per amore,1,
50001965,3,"Molinarella, La",La Molinarella,1,
50001966,2,"Idolo cinese, L'",L'Idolo cinese,1,
50001967,3,"Credulo deluso, Il",Il Credulo deluso,1,
50001969,3,"Contadina incivilita, La",La Contadina incivilita,1,
50001976,3,"Fenice sul rogo, La",La Fenice sul rogo,1,
50001977,3,"Transito di S Giusepe, Il",Il Transito di S Giusepe,1,
50001978,3,"Morte di S Giuseppe, La",La Morte di S Giuseppe,1,
50001988,4,"Triumph der Liebe, Der",Der Triumph der Liebe,,
50002037,3,"Didone abbandonata, La",La Didone abbandonata,,
50002051,2,"Arminio, L'",L'Arminio,,
50002053,3,"Conte di Saldagna, Il",Il Conte di Saldagna,1,
50002069,4,"Kaufmann von Smyrna, Der",Der Kaufmann von Smyrna,,
50002074,4,"Dorf im Gebirge, Das",Das Dorf im Gebirge,,
50002075,3,"Villagio sui monti, Il",Il Villagio sui monti,1,
50002078,4,"Einsiedler Hans, Der",Der Einsiedler Hans,,
50002080,4,"Glocken-Geläute, Das",Das Glocken-Geläute,,
50002096,3,"Ritratto, Il",Il Ritratto,1,
50002097,3,"Tre ore di agonia, Le",Le Tre ore di agonia,1,
50002143,3,"Scusa, La",La Scusa,1,
50002159,3,"Figliuol prodigo, Il",Il Figliuol prodigo,1,
50002160,2,"Amor villano, L'",L'Amor villano,1,
50002161,2,"Invenzione della croce, L'",L'Invenzione della croce,1,
50002172,3,"Jaloux á l'épreuve, Le",Le Jaloux á l'épreuve,1,
50002173,4,"Deux comtesses, Les",Les Deux comtesses,1,
50002194,2,"Adorazione dei magi, L'",L'Adorazione dei magi,1,
50002197,2,"Antigono, L'",L'Antigono,1,
50002222,4,"Kuckuck, Der",Der Kuckuck,,
50002251,2,"Due baroni di Rocca Azzurra, I",I Due baroni di Rocca Azzurra,1,
50002317,4,"Für den Glauben hart geprüfte und getröstete Familie, Die",Die Für den Glauben hart geprüfte und getröstete Familie,1,
50002318,2,"Infante de Zamora, L'",L'Infante de Zamora,1,
50002319,2,"Amante di tutte, L'",L'Amante di tutte,1,
50002332,4,"Rote Käppchen, Das",Das Rote Käppchen,1,
50002343,3,"Secret, Le",Le Secret,1,
50002344,4,"Geheimnis, Das",Das Geheimnis,,
50002345,4,"Apotheker und der Doktor, Der",Der Apotheker und der Doktor,,
50002350,4,"Schiffspatron, Der",Der Schiffspatron,,
50002353,4,"Gutsherr, Der",Der Gutsherr,,
50002354,4,"Neue Gutsherr, Der",Der Neue Gutsherr,1,
50002355,3,"Rencontre imprévue, La",La Rencontre imprévue,1,
50002356,4,"Pilgrime von Mekka, Die",Die Pilgrime von Mekka,,
50002371,4,"Sieben letzten Worte unseres Erlösers am Kreuze, Die",Die Sieben letzten Worte unseres Erlösers am Kreuze,1,
50002389,4,"Sommerfest der Braminen, Das",Das Sommerfest der Braminen,,
50002407,4,"Deux journées, Les",Les Deux journées,1,
50002408,4,"Wasserträger, Der",Der Wasserträger,,
50002410,2,"Hôtellerie portugaise, L'",L'Hôtellerie portugaise,1,
50002413,4,"Kuß, Der",Der Kuß,,
50002419,3,"Primo navigatore, Il",Il Primo navigatore,1,
50002431,4,"Sehnsucht, Die",Die Sehnsucht,,
50002433,4,"Feier der Christen auf Golgatha, Die",Die Feier der Christen auf Golgatha,,
50002438,3,"Ratto di Proserpina, Il",Il Ratto di Proserpina,1,
50002439,4,"Freudenfest, Das",Das Freudenfest,,
50002440,4,"Gewalt der Musik, Die",Die Gewalt der Musik,,
50002441,4,"Schöpfung, Die",Die Schöpfung,,
50002442,4,"Jahreszeiten, Die",Die Jahreszeiten,,
50002444,4,"Halleluja der Schöpfung, Das",Das Halleluja der Schöpfung,,
50002449,4,"Hochzeit des Figaro, Die",Die Hochzeit des Figaro,,
50002451,4,"Lied von der Glocke, Das",Das Lied von der Glocke,,
50002453,4,"Auferstehung Jesu, Die",Die Auferstehung Jesu,,
50002457,4,"Maienabend, Der",Der Maienabend,,
50002461,4,"Jünger zu Emmaus, Die",Die Jünger zu Emmaus,,
50002465,4,"Tod, Der",Der Tod,,
50002466,4,"Augenarzt, Der",Der Augenarzt,,
50002468,2,"Anima del filosofo, L'",L'Anima del filosofo,1,
50002473,4,"Deux aveugles de Tolède, Les",Les Deux aveugles de Tolède,1,
50002474,4,"Beiden Blinden von Toledo, Die",Die Beiden Blinden von Toledo,1,
50002476,3,"Curioso indiscreto, Il",Il Curioso indiscreto,1,
50002487,4,"Veilchen, Das",Das Veilchen,,
50002489,3,"Selva incantata, La",La Selva incantata,1,
50002490,4,"Jugend Peter des Großen, Die",Die Jugend Peter des Großen,,
50002491,4,"Schweizerfamilie, Die",Die Schweizerfamilie,,
