35050	Fremunt venti	50002025	Fremunt venti
35055	Humilitavit	50007679	Humilitavit
35095	Conditor alme siderum	50002125	Conditor alme siderum
35107	Qui fluctuas periculis	50002404	Qui fluctuas periculis
35129	Ach amoris dulcissima poena	50002192	Ach amoris dulcissima poena
35132	Domine Deus omnium creator	50009781	Domine Deus omnium creator
35134	In capite libri scriptum	50007801	In capite libri scriptum
35138	O sacra hostia	50007819	O sacra hostia
35140	Heu maesta rerum facies	50002239	Heu maesta rerum facies
35152	Ecce Domine	50021216	Ecce Domine
35155	Nos qui sumus in hoc mundo	50002268	Nos qui sumus in hoc mundo
35158	O virgo benedicta tu mater	50002278	O virgo benedicta tu mater
35171	Sperent in te eterne Deus omnes	50002301	Sperent in te eterne Deus omnes
35173	Deus meus	50002327	Deus meus
35190	Quis Deus	50007863	Quis Deus
35195	Benigne fac Domine	50004727	Benigne fac Domine
35211	Amo Christum	50006947	Amo Christum
35277	O Maria mater	50021167	O Maria mater
35342	Benedictus es Domine	50005009	Benedictus es Domine
35356	Quia parata sunt	50007018	Quia parata sunt
35370	O anima	50000091	O anima
35383	Ite fontes oculorum	50000166	Ite fontes oculorum
35384	Stupete gentes	50000156	Stupete gentes
