50004335	30004544		YU-Bma	Muzička Akademija
50004336	30004545		YU-Bmi	Muzikološki institut Srpske akademije nauka i umetnosti
50004337	30004546		YU-Bp	Biblioteka Srpske pravoslavne patrijaršije
50004338	30004547		YU-Bu	Univerzitetska biblioteka Svetozar Marković
50004340	30004549		YU-CEm	Cetinjski manastir
50004342	30004551		YU-KTf	Franjevački samostan sv. Klare, knjižnica
50004343	30004552		YU-KTi	Istorijski arhiv
50004344	30004553		YU-KTp	Pravoslavna crkva sv. Nikole
50004348	30004557		YU-NSm	Biblioteka Matice srpske
50004349	30004558		YU-P	Manastir sv. Trojice
50004363	30004572		D-Döhh	Heinrich-Heine-Institut
50004366	30004575		CZ-Pkřiž	Rytířský řàd křižovníků s červenou hvězdou, hudební sbírka
50004830	30005048		D-BöCh	Fürstlich Schaumburg-Lippische Hofbibliothek
50005134	30005356		I-RIMluisé	Biblioteca privata G. Luisé
50005266	30005489		E-VPsm	Parroquia de Santa María, Archivo
50007193	30005552		NULL	Société Jean-Jacques Rousseau
50005361	30005586		I-Vravá	Biblioteca privata Ravá
50005394	30005619		D-Löbi	Brahms-Institut in der Musikhochschule
50005404	30005629		D-Wöst	Staatsarchiv
50005416	30005641		D-Wöf	Franziskanerkloster
50005739	30005967		F-SÈT	Médiathèque
50005791	30006019		D-GÖsb	Stadtbibliothek
50005808	30006036		F-SÉEbm	Bibliothèque municipale
50005837	30006065		CZ-Cm	Městské muzeum
50005851	30006079		D-Lömk	Museum für Kunst und Kulturgeschichte der Hansestadt Lübeck
50005954	30006182		RUS-KLč	Naučnaja biblioteka gosudarstvennogo doma-muzeja P. I. Čajkovskogo
50005959	30006187		RUS-ČE	Čerdynskij kraevedčeskij muzej im. A. S. Puškina
50006017	30006246		P-BÇad	Arquivo Distrital
50006056	30006286		PL-PŁsem	Biblioteka Wyższego Seminarium Duchownego
50006060	30006290		PL-Żbened	Klasztor SS. Benedyktynek
50006067	30006297		CZ-JIČm	Okresní muzeum
50006089	30006319		CZ-POČm	Městské muzeum
50006090	30006320		CZ-PŘERm	Muzeum J. A. Komenského
50006091	30006321		CZ-PŘIBm	Městské muzeum
50006092	30006322		CZ-PŘLm	Městské muzeum
50006103	30006333		CZ-UOnygrín	soukromà sbírka J. Nygrína
50006116	30006346		CZ-Pmalotín	Soukromà sbírka B. Malotína
50006122	30006352		PL-ŚWjadwiszczok	Własność prywatna Ks. K. Jadwiszczoka
50006167	30006365		A-Web	Erzbischöfliche Bibliothek
50006154	30006384		F-EPmé	Médiathèque
50006158	30006388		D-Döloos	Privatsammlung Renate Loos
50006181	30006412		MEX-Mvaldés	Private collection Octaviano Valdés
50006273	30006506		PL-WŁs	Biblioteka Wyżego Seminarium Duchownego im. Księży Chodyńskich
50006277	30006510		PL-PŁm	Muzeum Diecezjalne
50006278	30006511		PL-ŁŹa	Archiwum Państwowe w Łodzi
50006407	30006642		D-KÖFl	Gräflich Lerchenfeldische Schloßbibliothek
50007931	30006707		NULL	Thomasschule Leipzig
50007002	30022245		NULL	Chor S Ulrich
50007003	30022248		NULL	Sankt Ulrich, Chor
