"id","ext_id","full_name"
14556,51014556,"Degli Antonii, Pietro [A/I]"
14569,51014569,"Buchner, Philipp Friedrich"
14611,51014611,"Baudrexel, Philipp Jakob"
14641,51014641,"Lappi, Pietro"
14652,51014652,"Orafi, Pietro Marcellino [A/I]"
14666,51014666,"Mori, Pietro [A/I]"
14743,51014743,"Verdelot, Philippe"
14752,51014752,"Zasa, Paolo [A/I]"
14840,51014840,"Lasso, Rudolph di"
14953,51014953,"Scherer, Sebastian Anton"
14982,51014982,"Cherici, Sebastiano"
14989,51014989,"Coya, Simone [A/I]"
15005,51015005,"Ertel, Sebastian"
15010,51015010,"Filippini, Stefano"
15022,51015022,"Girelli, Santino"
15035,51015035,"Hemmel, Sigmund"
15089,51015089,"Pasino, Stefano [A/I]"
15101,51015101,"Reina, Sisto [A/I]"
15122,51015122,"Vesi, Simone"
15123,51015123,"Visconte, Sisto [A/I]"
15128,51015128,"Weich, Stephan"
15131,51015131,"Zavaglioli, Simone [A/I]"
15211,51015211,"Eisenhuet, Thomas"
15239,51015239,"Homati, Tomaso [A/I]"
15290,51015290,"Simpson, Thomas"
15347,51015347,"Bell'haver, Vincenzo"
15350,51015350,"Bona, Valerio"
15377,51015377,"Molitor, Valentin"
15440,51015440,"Dessler, Wolfgang Christoph [A/I]"
15472,51015472,"Felton, William"
15822,51015822,"Staden, Johann"
16869,51016869,"Macarani, Stefano [A/I]"
16883,51016883,"Martini, Martin [A/I]"
16898,51016898,"Möller, Johann"
16946,51016946,"Rossi, Christoforo Sforza"
16983,51016983,"Strozzi, Bernardo"
17031,51017031,"Ziggeler, Anton"
17079,51017079,"Hardmeyer, Johann Caspar [A/I]"
17895,51017895,"Fokkerod, Johann Arnold"
17941,51017941,"Steiner"
20998,51020998,"Glarean"
21370,51021370,"Lindner, Friedrich"
21436,51021436,"Brück, Johann Friedrich"
23388,51023388,"Printz, Wolfgang Caspar"
24695,51024695,"Lampadius, Auctor"
26218,51026218,"Schwaighofer, Severin"
26684,51026684,"Dilherr, Johann Michael"
29039,51029039,"Lobwasser, Ambrosius"
29595,51029595,"Brockes, Barthold Heinrich"
31112,51031112,"Hanhart"
31118,51031118,"Opitz, Martin"
31403,51031403,"Meyer"
31673,51031673,"Martini"
32034,51032034,"Graff"
33710,51033710,"Schmid"
34868,51034868,"Benn, Johann Georg"
34869,51034869,"Hoezl, Ludwig"
34870,51034870,"Schadaeus, Abraham"
34871,51034871,"Luz, Bartholomäus"
34872,51034872,"Hassler, Kaspar"
34873,51034873,"Maldotti, Diego"
34874,51034874,"Rusca, Claudia Francesca"
34875,51034875,"Schütz, Edmund"
34877,51034877,"Suter, Mauriz"
34878,51034878,"Monferrato, Natale"
34879,51034879,"Späni, Bernard"
34880,51034880,"Suter, Jost Franz"
34881,51034881,"Donfrid, Johann"
34882,51034882,"Reininger, Johann"
34883,51034883,"Frisoni, Lorenzo"
34884,51034884,"Simonetti, Leonardo"
34885,51034885,"Listenius, Nikolaus"
34886,51034886,"Schillig, Urban"
34889,51034889,"Hagg, Andreas"
34890,51034890,"Molitor, Jakob"
34891,51034891,"Pfyffer, Heinrich Karl"
34892,51034892,"Lang, Johann Caspar"
34893,51034893,"Rolla, Giorgio"
34894,51034894,"Bürgi, Walter Ludwig"
34914,51034914,"Magni, Bartolomeo"
34918,51034918,"Gerlach, Katharina"
34919,51034919,"Lopez, Giovan"
34933,51034933,"Daniele da Perugia"
34941,51034941,"Inghirami, Valerio"
34947,51034947,"Grieninger, Paul"
34949,51034949,"Kirchbaur, Johannes"
34952,51034952,"Mendel, Johann Maria"
34954,51034954,"Raith, Johann Egidius"
34959,51034959,"Hund, Matthaeus"
34960,51034960,"Mocchi, Giovanni Battista"
34961,51034961,"Teybner"
34962,51034962,"Agricola, Johannes Paul"
34963,51034963,"Egger"
34964,51034964,"Mayer, Ignaz"
34965,51034965,"Taube"
34966,51034966,"Wendler, Hans Ludwig"
34967,51034967,"Sonner, Michael"
34985,51034985,"Rotondi, Carlo Ambrogio"
34989,51034989,"Hartmann, Franz Nikolaus"
34990,51034990,"Wagner, Johann Christoph"
34993,51034993,"Schuemacher, Beat"
34997,51034997,"Dürig, Romanus"
35001,51035001,"Räber, Ulrich"
35002,51035002,"Kriegmann, Johann Samuel"
35003,51035003,"Küntzlin, Heinrich"
35004,51035004,"Wirz, Johann"
35005,51035005,"Eglin, Hans Jacob"
35006,51035006,"Cavalieri, Nicola"
35007,51035007,"Carolus de fistula"
35008,51035008,"Franpotagio"
35009,51035009,"Benn, Johann Martin"
35010,51035010,"Holender, C."
35011,51035011,"Zesen, Philipp von"
35012,51035012,"Hegner"
35013,51035013,"Küntzli, Hans Georg"
35014,51035014,"Herrer, Michael"
35015,51035015,"Hildebrand, Christian"
35016,51035016,"Füllsack, Zacharias"
35017,51035017,"Hettlinger, Joachim"
35018,51035018,"Hetz, Adam"
35019,51035019,"Hanhart, Johannes"
35020,51035020,"Steiner, Hans Ulrich"
35021,51035021,"Rietter"
35022,51035022,"Hegner, Jacob"
35023,51035023,"Bidermann, Hans Ulrich"
35024,51035024,"Sulzer, Elias"
35025,51035025,"Sulzer, Johann"
35026,51035026,"Burzigel, Gabriel"
35027,51035027,"Hegner, Hanhart"
35028,51035028,"Sulzer, Anton"
35029,51035029,"Rehefeld, Christian"
35031,51035031,"Weberbeck, Christoph"
35032,51035032,"Pfaff, Johann Jakob"
35033,51035033,"Huber, Christian"
35034,51035034,"Braun, Johann Georg"
35035,51035035,"Blass"
35036,51035036,"Wolff"
35037,51035037,"Frey"
35039,51035039,"Däniker"
35043,51035043,"Herren, Johann Caspar"
35044,51035044,"Jenicken"
35065,51035065,"Dangel, Moritz"
35066,51035066,"Reuter, Nikolaus"
35067,51035067,"Pintener, Michael"
35068,51035068,"Beringer"
35069,51035069,"Ruprecht"
35070,51035070,"Theimling"
35071,51035071,"Postel, Christian Heinrich"
35072,51035072,"Seyfert, Johann Gottfried"
35073,51035073,"Fils, Anton"
35074,51035074,"Jehle, Ferdinand"
35075,51035075,"Pfleger, Thomas"
35076,51035076,"Keisshoff, Johannes"
35077,51035077,"Agenwiler"
35079,51035079,"Wagner, Samuel"
35080,51035080,"Kilchberger, Johann Rudolf"
35081,51035081,"Stuber, Philipp Christoph"
35082,51035082,"Frey, Johann Heinrich"
35083,51035083,"Stürm, Caspar"
35084,51035084,"Sinner, Philipp Heinrich"
35085,51035085,"Birch, Felix von"
35086,51035086,"Steffani, Hans Jacob"
35087,51035087,"Hunziker, Samuel"
35088,51035088,"Nüsperli, Rudolf"
35089,51035089,"Rychner, Wilhelm"
35090,51035090,"Seelmatter, Samuel"
35091,51035091,"Rothpletz, Abraham"
35092,51035092,"Buns, Benedictus"
35094,51035094,"Mouqué, Antonius"
35095,51035095,"Collez"
35096,51035096,"Mallegeer"
35097,51035097,"Bleu"
35098,51035098,"Gisleijn"
